"Subject"	"Activity"	"tBodyAcc-mean()-X"	"tBodyAcc-std()-X"	"tGravityAcc-mean()-X"	"tGravityAcc-std()-X"	"tBodyAccJerk-mean()-X"	"tBodyAccJerk-std()-X"	"tBodyGyro-mean()-X"	"tBodyGyro-std()-X"	"tBodyGyroJerk-mean()-X"	"tBodyGyroJerk-std()-X"	"fBodyAcc-mean()-X"	"fBodyAcc-std()-X"	"fBodyAccJerk-mean()-X"	"fBodyAccJerk-std()-X"	"fBodyGyro-mean()-X"	"fBodyGyro-std()-X"
1	"LAYING"	0.22159824394	-0.9280564692	-0.24888179828	-0.8968300184	0.0810865342	-0.958482112	-0.016553093978	-0.87354386782	-0.107270949192	-0.9186085208	-0.9390990524	-0.9244374346	-0.9570738838	-0.9641607086	-0.850249174586	-0.8822964508
2	"LAYING"	0.281373403958333	-0.974059464791667	-0.509754238125	-0.959014441458333	0.0825972511666667	-0.98587216875	-0.01847660675	-0.988275232916667	-0.101974134208333	-0.993235849166667	-0.976725059791667	-0.973246482083333	-0.985813630833333	-0.987250255833333	-0.9864311425	-0.988860685833333
3	"LAYING"	0.275516852741935	-0.982776639193548	-0.241758478064516	-0.982512193064516	0.0769811125806452	-0.98087931483871	-0.0208170540330645	-0.974545752096774	-0.10004449883871	-0.980328645	-0.980665609032258	-0.983691129032258	-0.980513202258064	-0.983122615967742	-0.970167262903226	-0.975986433709677
4	"LAYING"	0.263559214981481	-0.954193738888889	-0.420664662222222	-0.921199965925926	0.0934494217777778	-0.978302781111111	-0.00923156347222222	-0.973102422222222	-0.105019877685185	-0.975103204259259	-0.958802077592593	-0.952464881481481	-0.978542457407407	-0.980079292592593	-0.967203736481482	-0.975094739444444
5	"LAYING"	0.278334325576923	-0.965934509615385	-0.483470597692308	-0.945695336153846	0.0848164824230769	-0.983307862115385	-0.0218935013501923	-0.979498706538461	-0.102114125	-0.983422257692308	-0.968741678461538	-0.964953893653846	-0.982689657115385	-0.985625270384615	-0.975797491730769	-0.980705769807692
6	"LAYING"	0.248656520140351	-0.934049422052632	-0.47670987877193	-0.887746310350877	0.0963481955263158	-0.966341054736842	-0.0079605026754386	-0.955378225087719	-0.111267284631579	-0.939611608245614	-0.939114254210526	-0.932462941461404	-0.967072436842105	-0.968619159473684	-0.935439769649123	-0.962164978596491
7	"LAYING"	0.250176694038462	-0.93651361	-0.502814250576923	-0.914221270096154	0.0968904018076923	-0.980977756153846	-0.00282641913096154	-0.9601268225	-0.105944243484615	-0.9738372325	-0.953424245576923	-0.931120580576923	-0.980393046923077	-0.983560175384615	-0.953684547692308	-0.962348254423077
8	"LAYING"	0.261254282907407	-0.94304121537037	-0.405930036111111	-0.918873192333333	0.0878326902592593	-0.973253042222222	0.00535361206851852	-0.965204017592593	-0.106445008314815	-0.969924077407407	-0.953538563888889	-0.940125298333333	-0.973110596111111	-0.975959911481481	-0.957903886111111	-0.967846360740741
9	"LAYING"	0.2591955368	-0.94233309	-0.5802528348	-0.9218210626	0.08807344764	-0.9647404702	-0.013632036148	-0.9422465098	-0.10384667982	-0.945329035	-0.946865494	-0.9409810272	-0.964304065	-0.9686013042	-0.930297921	-0.9463891504
10	"LAYING"	0.280230574137931	-0.968283685	-0.453069737586207	-0.954531941896552	0.073815064487931	-0.978007466724138	-0.019555937162069	-0.961713199827586	-0.100308254413793	-0.965900578103448	-0.96918420862069	-0.96796803862069	-0.979014668793104	-0.978904364137931	-0.953793912068965	-0.96454456637931
11	"LAYING"	0.280592970877193	-0.98477733	-0.134832031403509	-0.97956560245614	0.0766645337017544	-0.985259108596491	-0.0191743840136842	-0.980836884561403	-0.102297501877193	-0.981724838421053	-0.983801365614035	-0.985322211929825	-0.984884874385965	-0.987122678245614	-0.97618747122807	-0.982424585438596
12	"LAYING"	0.260113433	-0.95531868	-0.3785920653	-0.936458309333333	0.0854295393833333	-0.969276283333333	-0.0146546807316667	-0.966090742	-0.0990402297166667	-0.9671982025	-0.956248487666667	-0.955207641833333	-0.968742758833333	-0.972820011166667	-0.9566538865	-0.969254585333333
13	"LAYING"	0.276716360483871	-0.968891989354839	-0.156852206467742	-0.957875244677419	0.0767774832096774	-0.98541995	-0.00973609968045161	-0.972143470322581	-0.101835573822581	-0.981404742903226	-0.974716920483871	-0.966960088387097	-0.985199684354839	-0.98707817516129	-0.96946349	-0.973446792419355
14	"LAYING"	0.233275439803922	-0.917501887333333	-0.145483631627451	-0.862136937254902	0.098140384845098	-0.971473557058824	0.00505221181607843	-0.957221015098039	-0.105446637019608	-0.970274962745098	-0.933936178235294	-0.911972655156863	-0.972010709215686	-0.973491388039216	-0.949959040588235	-0.959740488627451
15	"LAYING"	0.2894756525	-0.972255551527778	-0.1719930545	-0.961509742916667	0.0767515438611111	-0.981739386805556	-0.0168300887791667	-0.957167680694444	-0.102266714236111	-0.97392395125	-0.974016176527778	-0.971718824583333	-0.981329999027778	-0.983949290694444	-0.955413596111111	-0.958224495416667
16	"LAYING"	0.274227162571429	-0.973691429428571	-0.206783742242857	-0.963761977857143	0.0783960268571429	-0.988416723857143	-0.0161545406857143	-0.977010769857143	-0.1022095722	-0.985835459428571	-0.980213187428571	-0.971409075142857	-0.988580046285714	-0.989287359142857	-0.975892407428571	-0.977509583571429
17	"LAYING"	0.269780085577465	-0.972960567323944	-0.19913309	-0.961063222394366	0.077908974656338	-0.981489017183099	-0.0234756467113239	-0.975893061830986	-0.102049763957746	-0.980792372112676	-0.974359280140845	-0.972438525352113	-0.98147206915493	-0.983213244366197	-0.971949211126761	-0.977203498309859
18	"LAYING"	0.274691576923077	-0.984527649230769	-0.220600509076923	-0.982715987538462	0.0749985010769231	-0.985921071076923	-0.02517618068	-0.992872598	-0.0997154236307692	-0.996104441384615	-0.985179972153846	-0.984321858307692	-0.986404709384615	-0.986641245846154	-0.992436927692308	-0.993019371692308
19	"LAYING"	0.272653733493976	-0.965019579518072	-0.680043155060241	-0.958959611084337	0.0772317998650602	-0.983605223493976	-0.0312072730559566	-0.981357611445783	-0.0956018266746988	-0.976105663493976	-0.97453373	-0.962085001204819	-0.983478561807229	-0.985278006987952	-0.974196217590361	-0.983944795060241
20	"LAYING"	0.239507882205882	-0.962249114705882	-0.472431415573529	-0.928674215147059	0.0892716006470588	-0.984270728235294	-0.0231760616308824	-0.984477414264706	-0.0995033069117647	-0.989283577352941	-0.965728781617647	-0.960997907205882	-0.983889985147059	-0.986213883088235	-0.982619403529412	-0.985154588529412
21	"LAYING"	0.271325472455556	-0.955019866222222	-0.174349174822222	-0.945905270555556	0.0820150201077778	-0.984826520888889	-0.0305126188777778	-0.975411857555556	-0.0964118375066667	-0.984643717333333	-0.968234375555556	-0.950929451222222	-0.984188841222222	-0.987061376777778	-0.973410473	-0.976226919888889
22	"LAYING"	0.279959721194444	-0.947735251944444	-0.418494577083333	-0.928781249027778	0.0752202242222222	-0.970355191527778	-0.0208311371125	-0.956641905833333	-0.100203934722222	-0.972092602916667	-0.953758542777778	-0.945656808055556	-0.969570326944444	-0.974126068055556	-0.95336692	-0.958030986944444
23	"LAYING"	0.274038007986111	-0.956756363194444	-0.391564962777778	-0.947948758194444	0.0831787608333333	-0.986360446805556	-0.0113399724663889	-0.981849400972222	-0.102024922819444	-0.985027850416667	-0.970037238333333	-0.952410957638889	-0.986204659166667	-0.987840852638889	-0.979676078055556	-0.982665212638889
24	"LAYING"	0.272850494930556	-0.967984021111111	-0.359292534027778	-0.960412164305556	0.08072123275	-0.98636543375	-0.0143679929444444	-0.982651720138889	-0.102813809652778	-0.979865720555556	-0.975893687083333	-0.965167081805556	-0.985998546805556	-0.988140517777778	-0.976570564027778	-0.984713284166667
25	"LAYING"	0.250791828613699	-0.909116474109589	-0.461102531369863	-0.829554947808219	0.0879071687671233	-0.973323412328767	0.00372723459589041	-0.889769639726027	-0.101646999342466	-0.957381145068493	-0.929147371232877	-0.902547712465753	-0.972859085753425	-0.976423984657534	-0.890517539315068	-0.891308069041096
26	"LAYING"	0.271645864540789	-0.969445445263158	-0.621309715263158	-0.944472488552632	0.0866502529210526	-0.989315824868421	-0.0170656239526316	-0.990328197763158	-0.100368640868421	-0.992665154868421	-0.973262289210526	-0.967971891447368	-0.989224043947368	-0.990410106973684	-0.988386324868421	-0.990970119605263
27	"LAYING"	0.274102492432432	-0.978455153108108	-0.530434604864865	-0.971183862702703	0.0766268551324324	-0.986471899324324	-0.0195427328781081	-0.988837212162162	-0.101147695256757	-0.993503720810811	-0.980631846891892	-0.977615702567568	-0.986679572567568	-0.987477465405405	-0.987028539054054	-0.989382328918919
28	"LAYING"	0.2759134825	-0.9688882955	-0.490334541875	-0.970599089375	0.0780770644	-0.9801647165	-0.017367705735	-0.95516227975	-0.1045116270375	-0.9608029485	-0.9739308675	-0.967324863875	-0.980013419	-0.98220590125	-0.946804234625	-0.958092114
29	"LAYING"	0.287295196811594	-0.984219555507246	-0.346789842753623	-0.972939889855073	0.0718861195971014	-0.99200598942029	-0.0258281004782609	-0.994276591304348	-0.0995339880724638	-0.99654254057971	-0.986626999275362	-0.983432309130435	-0.992153982028986	-0.99254347826087	-0.99312260884058	-0.994652185217391
30	"LAYING"	0.281033900571429	-0.976362515428571	-0.344737755285714	-0.979563942714286	0.0752196666428571	-0.977463775571429	-0.0267812218571429	-0.973662822428571	-0.102277358585714	-0.983775833714286	-0.974789999285714	-0.977045260571429	-0.976887901571429	-0.980350748142857	-0.971789052714286	-0.974488400714286
1	"SITTING"	0.261237565425532	-0.977229008297872	0.831509933404255	-0.968457145744681	0.0774825199574468	-0.986430711276596	-0.045350056512766	-0.977211283191489	-0.0936793807234043	-0.99173159212766	-0.979641238723404	-0.976412313191489	-0.986597022553191	-0.987492994468085	-0.976161464042553	-0.977904227021277
2	"SITTING"	0.27708735173913	-0.986822279565217	0.940477273043478	-0.979988760869565	0.0722564387173913	-0.988055854130435	-0.0454706620434783	-0.985742027826087	-0.0936328412826087	-0.989709023043478	-0.985803840652174	-0.98736209	-0.987848793695652	-0.989459107391304	-0.982621389565217	-0.986808501521739
3	"SITTING"	0.257197599134615	-0.971010120961538	0.901098984615385	-0.957324457884615	0.0726098418653846	-0.974467390384615	-0.0385365204807692	-0.965434768461538	-0.103605889057692	-0.972546905961538	-0.970154440961538	-0.971605878461538	-0.974950363461538	-0.976283534807692	-0.957550637692308	-0.968013062884615
4	"SITTING"	0.27153827992	-0.980309931	0.8693030064	-0.9814052948	0.0784500239	-0.9767421962	-0.04944351156	-0.9701317904	-0.09694948424	-0.9698997312	-0.9774624984	-0.9819081892	-0.9768457126	-0.9787769122	-0.9605896358	-0.973333107
5	"SITTING"	0.273694139545455	-0.980945022045455	0.880731443863636	-0.983137541590909	0.0749577410909091	-0.975204850227273	-0.0422355209795455	-0.966225485	-0.0889747665681818	-0.966037012045455	-0.977450812045455	-0.9825908425	-0.976024951136364	-0.976530547272727	-0.957117251818182	-0.969390369318182
6	"SITTING"	0.276778487454545	-0.980164933636364	0.933692934909091	-0.988872369272727	0.0754721635223636	-0.969929476363636	-0.0372442282830909	-0.957367681818182	-0.0936693524363636	-0.943714804727273	-0.975351454727273	-0.982451284727273	-0.971037479818182	-0.971488767454545	-0.939671400545455	-0.963407046545455
7	"SITTING"	0.284674637291667	-0.972668374583333	0.969147824375	-0.957082433333333	0.0668519793125	-0.982158098125	-0.04963797197125	-0.941870953333333	-0.0938155625083333	-0.974369045625	-0.972697126875	-0.972879966041667	-0.982037243958333	-0.984026344375	-0.9436317575	-0.9427264225
8	"SITTING"	0.267491472934783	-0.979026152391304	0.832453878043478	-0.966757967173913	0.0786713761086957	-0.985188753695652	-0.0547396987173913	-0.984524052826087	-0.0923150250434783	-0.993264647391304	-0.981142909782609	-0.978256730652174	-0.984977270652174	-0.986913610652174	-0.982200309782609	-0.985339301521739
9	"SITTING"	0.24832674354	-0.9572277914	0.9163245106	-0.9552804062	0.077005006374	-0.9645358564	-0.042328876778	-0.9590200492	-0.0930708106	-0.9645323452	-0.959413594	-0.956903459	-0.9655962396	-0.9666604036	-0.950315237	-0.9618360162
10	"SITTING"	0.270612056481481	-0.982901825925926	0.791887198148148	-0.973128354074074	0.0775372505185185	-0.988946414074074	-0.0432432176851852	-0.988873097222222	-0.0931555026481481	-0.992326657222222	-0.984943144259259	-0.982242427777778	-0.989365013888889	-0.989550917407407	-0.986477363333333	-0.989712360740741
11	"SITTING"	0.276590197358491	-0.982796562075472	0.871963798301887	-0.988069341132075	0.0761777324716981	-0.980335163584906	-0.0399984915849057	-0.988164911509434	-0.0948423481320755	-0.990501518301887	-0.981481454339623	-0.983389810188679	-0.980831750377358	-0.981607942075472	-0.985106875471698	-0.989189512641509
12	"SITTING"	0.275007224901961	-0.982568781960784	0.926228975490196	-0.985203642352941	0.0771277656078431	-0.976494200784314	-0.0424159182941176	-0.974425351960784	-0.0941023489803922	-0.977329927254902	-0.97966614372549	-0.98399947745098	-0.977109887058824	-0.977980349019608	-0.968528985294118	-0.976339901372549
